Ticker,Date,F_1_d_returns_Ind,1_d_returns,5_d_returns,15_d_returns,20_d_returns,Action
A,2024-03-01,1,0.7254772396335598,1.3857524143836353,0.2017043018854729,0.15272139458429781,1
A,2024-03-04,1,1.652251004699774,2.35653999318434,0.7971217818536858,0.5737829563282245,1
A,2024-03-05,1,0.6048269692409736,2.431126927038909,1.1386201493791492,0.7530053031855997,1
A,2024-03-06,1,0.7613357989397534,1.7941113163644824,1.7631983231668502,0.6008486850382471,1
A,2024-03-07,0,1.2682846885089238,2.371944865207135,1.8021117104953797,1.2950349205856115,0
A,2024-03-08,0,-0.6395990447678642,1.6811083745444348,1.2495393335381992,0.9854271576630277,0
A,2024-03-11,1,-0.28488804177933547,0.7360428421877974,1.1618440341685783,1.009772242376073,1
A,2024-03-12,0,0.1897488656732424,0.5364164605543261,1.3325828973337563,1.1936728500556661,0
A,2024-03-13,0,-0.0501211355157974,0.14970922520865076,1.1611683258962522,1.5080140482589652,0
A,2024-03-14,1,-1.136287079100377,-0.9723447761780571,1.2938557538644149,0.9154787862521427,0
A,2024-03-15,0,0.9273396127582065,-0.24707403352376525,1.5919322301193148,0.8634636901595705,1
A,2024-03-18,1,-0.6260099673547945,-0.4080648865190299,1.487681983890027,0.7043177622016966,1
A,2024-03-19,0,0.5099120744420333,-0.25894636436780794,1.503760590107304,0.9255465581545927,0
A,2024-03-20,1,-0.08800798174886842,-0.27675189778130066,0.859169232748804,0.7745331330120933,1
A,2024-03-21,0,0.5727910368878545,0.5402833987942729,0.9966249015664265,1.3273378797485262,0
A,2024-03-22,0,-0.5793820394974889,-0.1759579233004821,0.604391530849845,1.1852485050329842,0
A,2024-03-25,0,-0.8363249334954127,-0.2760100142499347,-0.11744740823635262,1.044149449617842,1
A,2024-03-26,1,-0.5314993399593666,-0.7607714071091063,-0.43946795626292134,0.7914451523464556,1
A,2024-03-27,0,1.228906239245877,-0.1521563660794626,-0.30969243390195517,0.5916196862071673,0
A,2024-03-28,1,-0.8241448267389614,-0.8045195453934287,-0.8900909922995568,0.3568912733791001,1
A,2024-04-01,0,0.08030823951551821,-0.4976739784531049,-0.6910032066796143,0.1998918477150842,0
A,2024-04-02,0,-0.6337137021411798,-0.4020206387270927,-0.7880402284409795,-0.3426582648089813,0
A,2024-04-03,0,-0.230927062782781,-0.26035544768969765,-0.903515982871347,-0.5370937070547713,0
A,2024-04-04,1,-1.0725492918833583,-1.3200423257964653,-1.183354339762077,-0.9569992645370481,1
A,2024-04-05,1,1.1775555378350802,-0.40211574865910593,-0.5493932888420795,-0.9770053419886264,1
A,2024-04-08,1,0.10451680578656852,-0.3908182339920992,-0.7757313712140308,-0.8080687970725836,1
A,2024-04-09,0,1.219879067122769,0.4846063869318506,-0.26193267320217317,-0.4642872507819063,0
A,2024-04-10,1,-1.4043540003180441,-0.08259563306264647,-0.8008124997007363,-0.8345079856670184,1
AAL,2024-03-01,0,-0.12080805497129189,0.85351097646373,0.3806652987571186,0.8285606993524666,0
AAL,2024-03-04,0,-3.406511572113,-1.0687535455910286,-0.5286637797342748,-0.2509530626694753,0
AAL,2024-03-05,1,-0.6277435952054943,-1.8058078719061856,-0.7500963648416369,-0.08398834220160016,1
AAL,2024-03-06,1,0.8456620860278274,-1.2661857070705653,-0.1247506680926526,-0.517841690774455,1
AAL,2024-03-07,0,0.04158329385749195,-1.6234946309755058,-0.3998134895505374,-0.5081603245064292,0
AAL,2024-03-08,0,-0.9570377366258987,-1.9985123303405468,-0.7039371403943528,-0.7588574228477922,1
AAL,2024-03-11,0,-0.16842365933500406,-0.48567820620991387,-0.43480931309045906,-0.7213288907472037,0
AAL,2024-03-12,1,-2.961450828661235,-1.5841415082952879,-1.3237066664437327,-1.4351364256953087,1
AAL,2024-03-13,0,0.13588872225870563,-1.8979999866869572,-1.377266250608895,-1.1004162584765447,0
AAL,2024-03-14,0,-0.08601634624137922,-1.9545096748345383,-1.8756337470406026,-1.3425320636817695,0
AAL,2024-03-15,1,-0.17466779394544468,-1.6030823853817378,-1.7939064496331698,-1.4079949339969944,1
AAL,2024-03-18,0,0.6243556159661002,-1.247015342923586,-1.7806813708341553,-1.0204044993217634,0
AAL,2024-03-19,1,-0.8325478249278122,-0.23280241698537796,-2.2516338160242557,-1.2536463390680677,1
AAL,2024-03-20,1,2.8063799103078644,1.019605840276377,-1.4496257974799678,-0.7129371419562471,1
AAL,2024-03-21,1,0.8517526932857894,1.479935977450368,-1.446665112800827,-0.9336381008176164,1
AAL,2024-03-22,1,0.12603403953848133,1.6299931523110134,-1.3811928768084918,-0.7938747124472606,1
